UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,date
DAY,1586476800,0.861597049103974,1.32179855178365,0.685565209543203,0.944616568847662,2020-04-10
DAY,1586563200,0.944616568847662,1.05644461110928,0.76587385849745,0.788009428346431,2020-04-11
DAY,1586649600,0.788009428346431,0.959328700703902,0.75888125609521,0.880938006177545,2020-04-12
DAY,1586736000,0.880938006177545,0.880938006177545,0.773223218088112,0.776814255201835,2020-04-13
DAY,1586822400,0.776814255201835,0.798246831674317,0.6275533,0.66376981,2020-04-14
DAY,1586908800,0.66376981,0.70517436,0.61867377,0.63423789,2020-04-15
DAY,1586995200,0.63423789,0.77511313,0.61877354,0.68601852,2020-04-16
DAY,1587081600,0.68601852,0.7143532,0.65489028,0.65489028,2020-04-17
DAY,1587168000,0.65489028,0.7193417,0.65489028,0.67534313,2020-04-18
DAY,1587254400,0.67534313,0.67534313,0.59203518,0.60221172,2020-04-19
DAY,1587340800,0.60221172,0.63623329,0.51740722,0.53107571,2020-04-20
DAY,1587427200,0.53107571,0.59432989,0.50513551,0.57407658,2020-04-21
DAY,1587513600,0.57407658,0.70607229,0.56958693,0.68980978,2020-04-22
DAY,1587600000,0.68980978,0.69559644,0.59642506,0.63164387,2020-04-23
DAY,1587686400,0.63164387,0.66456797,0.6095947,0.62436066,2020-04-24
DAY,1587772800,0.62436066,0.66676291,0.61697768,0.64361627,2020-04-25
DAY,1587859200,0.64361627,0.68422266,0.628551,0.63763007,2020-04-26
DAY,1587945600,0.63763007,0.6534935,0.55861223,0.56819015,2020-04-27
DAY,1588032000,0.56819015,0.69649437,0.56449866,0.65678591,2020-04-28
DAY,1588118400,0.65678591,0.778206,0.65109902,0.7442842,2020-04-29
DAY,1588204800,0.7442842,0.804,0.679932,0.69,2020-04-30
DAY,1588291200,0.69,0.735,0.6834,0.7233,2020-05-01
DAY,1588377600,0.7233,0.7473,0.7021,0.7113,2020-05-02
DAY,1588464000,0.7113,0.7263,0.6552,0.68,2020-05-03
DAY,1588550400,0.68,0.7035,0.6179,0.67,2020-05-04
DAY,1588636800,0.67,0.6843,0.626,0.6482,2020-05-05
DAY,1588723200,0.6482,0.6674,0.61503849,0.617,2020-05-06
DAY,1588809600,0.617,0.6314,0.5737,0.6144,2020-05-07
DAY,1588896000,0.6144,0.6324,0.5898,0.606,2020-05-08
DAY,1588982400,0.606,0.6236,0.5905,0.6032,2020-05-09
DAY,1589068800,0.6032,0.6032,0.51,0.5417,2020-05-10
DAY,1589155200,0.5417,0.5679,0.5065,0.5162,2020-05-11
DAY,1589241600,0.5162,0.5577,0.5052,0.5356,2020-05-12
DAY,1589328000,0.5356,0.5673,0.52,0.5533,2020-05-13
DAY,1589414400,0.5533,0.5823,0.5516,0.5728,2020-05-14
DAY,1589500800,0.5728,0.5748,0.547,0.556,2020-05-15
DAY,1589587200,0.556,0.6043,0.5545,0.5979,2020-05-16
DAY,1589673600,0.5979,0.6397,0.5926,0.6114,2020-05-17
DAY,1589760000,0.6114,0.6742,0.6114,0.6511,2020-05-18
DAY,1589846400,0.6511,0.6511,0.6103,0.6273,2020-05-19
DAY,1589932800,0.6273,0.6273,0.5766,0.5819,2020-05-20
DAY,1590019200,0.5819,0.6109,0.545,0.6058,2020-05-21
DAY,1590105600,0.6058,0.6775,0.58,0.6362,2020-05-22
DAY,1590192000,0.6362,0.6373,0.5891,0.6064,2020-05-23
DAY,1590278400,0.6064,0.6064,0.5484,0.5484,2020-05-24
DAY,1590364800,0.5484,0.65,0.5409,0.5957,2020-05-25
DAY,1590451200,0.5957,0.612,0.5673,0.5744739,2020-05-26
DAY,1590537600,0.5744739,0.6095,0.5744739,0.59,2020-05-27
DAY,1590624000,0.59,0.59,0.565,0.5746,2020-05-28
DAY,1590710400,0.5746,0.5931,0.5656,0.5795,2020-05-29
DAY,1590796800,0.5795,0.6004999,0.5682,0.5873,2020-05-30
DAY,1590883200,0.5873,0.5932,0.5687,0.5725,2020-05-31
DAY,1590969600,0.5725,0.5931,0.5688,0.57544245,2020-06-01
DAY,1591056000,0.57544245,0.5865,0.5511,0.5668663,2020-06-02
DAY,1591142400,0.5668663,0.591591,0.5668663,0.5874869,2020-06-03
DAY,1591228800,0.5874869,0.59,0.5626,0.5856,2020-06-04
DAY,1591315200,0.5856,0.6991,0.5767,0.6593,2020-06-05
DAY,1591401600,0.6593,0.6593,0.61,0.625,2020-06-06
DAY,1591488000,0.625,0.625,0.5916,0.6124,2020-06-07
DAY,1591574400,0.6124,0.6807,0.6124,0.6685,2020-06-08
DAY,1591660800,0.6685,0.6695,0.6224,0.6563,2020-06-09
DAY,1591747200,0.6563,0.6682,0.635,0.6436,2020-06-10
DAY,1591833600,0.6436,0.6483,0.5692,0.5716,2020-06-11
DAY,1591920000,0.5716,0.6064,0.567,0.5937,2020-06-12
DAY,1592006400,0.5937,0.6091,0.5848,0.6091,2020-06-13
DAY,1592092800,0.6091,0.6161,0.5773,0.5863,2020-06-14
DAY,1592179200,0.5863,0.5879,0.5409,0.5705,2020-06-15
DAY,1592265600,0.5705,0.5877872,0.5673,0.5842,2020-06-16
DAY,1592352000,0.5842,0.589,0.56364363,0.5825,2020-06-17
DAY,1592438400,0.5825,0.6488,0.5794,0.6188,2020-06-18
DAY,1592524800,0.6188,0.835,0.6167,0.6842,2020-06-19
